,"Median Age, as of 1 July (years)","Rate of Natural Change (per 1,000 population)","Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),"Crude Death Rate (deaths per 1,000 population)","Infant Mortality Rate (infant deaths per 1,000 live births)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)"
2449,26.508,11.344,17.298,2.402,1.136,5.954,9.12,11.026,47.659,56.768,38.051,170.502,203.896,135.749,72.495,87.654,56.531,158.774,191.749,124.549
2528,28.984,11.395,17.161,2.299,1.095,5.766,14.402,16.845,38.551,43.72,33.172,119.019,141.26,96.26,42.048,48.317,35.661,101.435,121.984,80.565
2607,18.48,26.35,33.027,4.384,1.966,6.677,37.496,52.887,131.033,153.242,107.709,262.827,305.726,220.537,118.099,142.269,92.86,209.481,249.215,171.315
2686,32.026,7.999,15.6,2.064,0.98,7.601,13.537,16.013,42.937,53.248,32.714,126.011,160.813,91.201,49.241,65.491,33.295,108.969,143.233,74.869
2765,31.272,10.026,16.325,2.275,1.064,6.299,23.712,28.516,63.207,72.102,53.172,175.423,197.901,144.208,65.354,73.035,54.857,147.2,166.245,119.572
2844,23.638,16.139,23.036,2.754,1.261,6.897,33.1,44.065,116.706,133.094,99.928,287.823,335.854,240.861,134.822,161.609,107.973,248.815,296.6,202.615
2923,21.619,11.759,23.642,2.785,1.238,11.883,39.165,52.541,198.805,234.26,160.167,498.063,590.428,391.965,285.044,351.987,206.845,464.596,561.016,354.554
3002,22.19,11.709,25.778,2.98,1.257,14.069,69.014,89.069,253.077,280.51,224.044,544.608,600.044,484.502,311.143,352.524,264.995,492.034,549.165,430.905
3081,21.398,15.464,26.921,3.248,1.47,11.457,29.772,41.508,171.144,199.194,143.593,463.502,546.662,379.158,255.11,310.999,199.36,435.067,521.268,348.105
3160,27.352,7.278,19.31,2.341,1.07,12.032,28.082,36.936,142.195,165.251,118.049,388.519,443.405,335.074,199.346,230.881,166.404,361.061,416.314,307.784
3239,17.527,26.748,36.071,4.895,2.061,9.323,54.396,82.504,193.982,208.236,179.176,352.458,381.668,322.706,162.656,178.243,146.93,274.401,301.966,246.828
3318,16.724,26.29,34.952,4.665,1.983,8.662,47.42,79.384,181.497,192.427,170.295,349.366,388.272,311.843,158.714,177.501,140.149,278.503,318.367,240.675
3397,26.961,11.027,16.686,1.879,0.906,5.659,11.38,13.504,41.392,53.304,28.591,148.137,208.325,84.551,61.095,87.817,31.414,134.241,194.151,71.117
3476,17.752,24.649,33.492,4.342,1.878,8.843,56.758,75.624,184.946,194.276,175.446,405.821,419.513,391.237,200.093,202.234,197.835,348.231,356.528,339.232
3555,16.986,25.559,32.696,4.586,2.021,7.137,27.994,43.891,148.789,158.782,138.623,315.302,341.212,290.491,153.764,165.996,141.981,267.062,291.768,243.833
3634,20.524,19.495,27.08,3.507,1.558,7.585,31.602,42.582,146.108,164.544,126.966,298.736,336.322,261.05,146.908,167.842,125.294,250.29,285.671,215.46
3713,17.849,23.985,33.855,4.303,1.781,9.87,63.929,92.407,204.967,214.805,194.851,365.931,388.509,345.12,166.389,177.063,156.464,281.224,302.55,262.302
3792,18.444,22.014,30.611,3.925,1.701,8.597,50.096,72.866,170.666,188.141,152.738,373.161,418.655,330.642,175.421,200.947,150.292,313.653,358.534,272.823
3871,18.111,22.364,30.996,4.016,1.754,8.632,57.311,74.813,158.711,170.335,146.881,344.489,367.328,321.693,152.415,162.693,142.354,282.38,301.95,263.251
3950,15.165,32.266,41.217,5.867,2.486,8.951,53.277,84.886,185.574,193.602,177.26,352.362,380.727,322.434,158.085,170.694,144.876,277.738,305.841,248.278
4029,17.713,25.75,32.953,4.342,1.96,7.203,43.566,58.653,112.765,124.504,101.233,261.253,290.377,233.575,97.984,109.605,87.321,207.704,234.562,182.78
4108,14.486,37.195,45.029,6.749,2.929,7.834,40.088,71.757,150.591,155.034,145.965,308.188,334.149,280.585,130.121,139.158,120.551,243.814,269.6,216.52
4187,17.117,24.18,36.611,5.143,1.95,12.431,71.871,110.814,287.561,287.478,287.681,459.314,466.085,452.524,237.915,238.936,236.875,357.252,364.597,349.871
4266,52.294,-10.472,7.472,1.643,0.786,17.944,11.094,12.863,28.54,34.912,22.77,91.097,119.684,64.986,30.325,39.305,23.495,77.351,103.936,53.536
4345,17.899,26.519,32.067,4.314,2.009,5.548,21.033,31.88,84.367,97.593,71.072,218.16,262.992,177.014,90.827,109.815,73.148,185.512,227.858,147.61
4424,19.047,21.879,30.788,3.876,1.653,8.909,69.962,96.71,170.062,177.46,162.667,328.301,348.609,308.105,125.861,131.667,119.998,244.438,262.899,226.235
4503,18.779,23.267,31.48,4.196,1.802,8.213,43.89,62.432,171.839,170.827,172.89,323.653,338.671,308.705,156.592,158.544,154.692,261.296,275.851,246.927
4582,29.538,10.57,20.754,3.047,1.45,10.184,8.495,9.504,44.944,60.095,29.768,204.723,278.27,134.454,86.527,121.005,52.979,195.514,268.819,125.819
4661,23.819,17.348,23.326,2.946,1.405,5.978,13.128,14.802,46.528,63.202,29.771,194.884,276.696,115.115,81.249,120.909,43.007,181.449,262.571,102.983
4740,21.612,21.33,26.025,3.141,1.473,4.695,23.419,27.333,56.686,65.892,47.161,169.211,202.67,135.719,61.831,75.529,48.112,144.02,175.422,113.005
4819,26.081,14.17,20.755,2.617,1.213,6.585,32.921,38.644,74.324,92.194,55.673,205.846,267.343,144.047,78.007,106.569,49.692,171.698,230.124,114.228
4898,26.796,16.438,22.433,2.8,1.318,5.995,12.397,13.998,43.704,52.988,33.978,166.708,209.288,123.898,64.631,82.194,46.872,153.051,194.411,111.821
4977,38.467,0.165,7.544,1.175,0.548,7.379,5.88,7.122,26.218,30.728,21.144,88.71,113.56,62.418,34.843,44.291,24.628,79.638,104.068,53.888
5056,45.38,-2.751,5.606,0.756,0.362,8.357,1.38,2.199,7.478,9.204,6.024,43.048,59.418,30.411,13.671,19.367,9.578,40.437,56.721,27.912
5135,38.049,5.788,10.044,1.109,0.531,4.256,2.236,3.037,9.083,11.836,6.385,38.248,53.187,26.262,13.177,17.752,9.499,34.66,48.489,23.919
5214,41.91,0.303,7.799,1.132,0.542,7.496,3.146,3.884,19.662,25.513,13.447,86.251,120.629,51.719,37.217,53.123,21.17,81.733,115.938,47.428
5293,35.876,3.705,13.058,1.793,0.841,9.353,13.567,17.068,67.199,85.09,48.184,160.285,197.25,120.932,76.377,98,53.5,139.395,174.044,102.782
5372,48.745,-6.079,6.576,1.305,0.632,12.655,1.681,2.347,12.237,15.299,9.031,51.032,65.401,36.162,20.507,26.16,14.622,48.138,62.37,33.417
5451,26.871,14.968,20.447,2.774,1.334,5.479,8.836,10.66,42.807,56.707,28.303,180.982,258.362,102.824,75.475,107.672,42.473,170.855,246.789,94.758
5530,43.928,-1.09,5.515,0.874,0.422,6.605,2.29,2.788,8.726,10.183,7.132,43.183,60.842,24.787,14.543,19.642,9.14,39.849,57.323,21.661
5609,16.87,28.237,35.143,4.523,2.028,6.906,40.802,52.846,144.266,180.512,105.372,313.637,374.257,248.539,150.287,195.837,101.294,268.266,329.563,203.017
5688,26.666,12.184,17.48,1.95,0.918,5.296,20.375,25.24,57.432,62.335,52.446,144.035,174.223,114.489,58.021,68.873,48.042,118.319,146.961,90.629
5767,28.774,5.976,12.332,1.398,0.659,6.356,20.658,24.595,54.97,61.758,47.502,156.041,177.816,130.807,57.468,64.24,49.515,131.251,150.61,108.65
5846,27.903,7.193,16.267,2.011,0.918,9.074,26.308,32.41,79.643,85.698,73.067,240.983,270.987,208.267,93.639,110.935,74.789,211.29,242.879,176.792
5925,32.447,7.09,13.242,1.681,0.8,6.152,10.292,12.215,43.969,55.439,32.022,123.844,157.558,87.925,52.527,70.626,33.512,109.486,142.881,73.969
6004,31.307,10.861,13.638,1.678,0.809,2.777,6.005,7.064,16.87,17.738,15.851,54.581,60.53,46.579,19.388,20.797,17.242,47.017,52.446,39.552
6083,24.037,13.514,20.165,2.008,0.944,6.651,20.332,24.455,65.881,75.76,56.699,185.603,215.232,156.878,74.525,86.913,63.706,160.278,187.801,134.04
6162,20.381,20.212,27.233,3.41,1.535,7.021,51.791,62.647,105.547,119.599,90.859,235.934,274.193,195.719,81.854,98.691,64.571,179.348,215.259,142.105
6241,32.727,6.494,13.781,1.974,0.952,7.287,5.467,6.507,29.706,37.559,22.088,114.785,159.038,72.399,50.018,69.895,30.991,107.595,151.696,65.45
6320,32.295,8.062,13.493,1.764,0.831,5.431,9.301,11.172,37.508,43.058,31.444,132.069,153.752,108.117,52.172,60.394,43.104,120.067,141.119,96.839
6399,26.805,12.184,18.969,2.322,1.084,6.785,20.586,24.489,84.446,105.69,62.72,203.685,245.828,159.187,93.449,117.458,68.888,175.783,214.495,135.442
6478,29.634,6.606,16.196,2.153,1.004,9.59,17.729,21.379,67.275,74.634,59.467,222.441,254.031,189.426,90.775,101.8,79.237,201.714,232.302,169.934
6557,24.084,15.265,21.46,2.448,1.132,6.195,30.557,38.77,83.635,96.167,70.462,206.44,238.73,173.003,80.695,93.311,67.587,169.054,197.446,140.145
6636,30.328,9.573,15.016,1.787,0.854,5.443,5.909,6.96,25.953,32.771,18.633,117.601,152.286,79.952,44.277,59.542,27.577,110.159,144.508,72.917
6715,29.306,8.084,16.833,2.127,0.969,8.749,32.738,41.858,101.798,125.133,76.958,239.56,293.53,182.611,101.847,130.722,71.72,198.864,249.438,146.481
6794,24.734,16.05,21.618,2.725,1.265,5.568,21.586,25.673,56.567,64.66,47.911,157.174,182.628,130.385,57.811,66.164,48.998,131.311,154.088,107.629
6873,42.315,2.109,7.1,1.035,0.5,4.991,1.657,2.196,7.394,8.868,5.725,46.347,58.035,32.936,14.201,17.927,10.055,43.898,55.418,30.666
6952,39.741,1.319,8.806,1.317,0.628,7.487,7.097,8.359,41.303,56.611,25.477,128.939,180.047,78.56,62.686,91.333,33.871,119.496,170.13,69.796
7031,20.574,18.076,24.611,3.047,1.389,6.535,30.851,38.112,82.651,91.197,73.595,205.447,229.61,178.717,79.842,88.293,70.987,168.586,189.894,145.103
7110,32.398,7.858,14.689,1.941,0.894,6.831,14.988,19.236,66.004,91.525,38.883,151.357,208.388,91.773,70.637,102.044,37.847,128.483,181.797,73.932
7189,34.761,-0.181,11.7,1.575,0.745,11.881,8.052,9.031,26.486,37.28,16.796,150.795,239.654,81.622,51.121,83.714,25.755,142.385,231.161,73.798
7268,31.925,5.497,11.941,1.66,0.762,6.444,16.409,18.755,50.81,63.04,38.123,143.552,186.546,102.413,59.086,80.433,37.978,124.68,167.136,84.492
7347,33.302,8.978,11.454,1.797,0.873,2.476,5.385,6.473,15.023,16.393,13.324,62.952,66.8,57.29,19.446,20.367,18.331,55.988,59.533,50.631
7426,38.071,3.052,10.023,1.311,0.632,6.971,2.128,2.498,9.388,11.833,6.705,55.115,68.426,42.17,17.677,22.377,12.833,52.321,65.481,39.545
7505,36.462,-2.098,13.099,2.063,0.984,15.197,8.157,9.113,39.036,55.078,22.711,176.213,262.107,93.666,72.075,111.48,33.556,167.922,253.884,85.587
7584,20.013,22.602,27.035,3.445,1.621,4.433,17.646,21.463,52.744,60.984,44.152,165.657,195.696,136.645,61.417,72.334,50.409,144.043,172.343,117.115
7663,29.091,13.855,19.337,2.948,1.427,5.482,2.928,3.621,11.588,14.789,8.257,54.799,71.6,37.966,18.297,24.31,12.168,50.806,67.211,34.411
7742,23.716,17.659,21.616,2.786,1.33,3.957,12.444,14.419,33.171,36.796,29.283,119.407,141.692,93.692,39.619,45.626,32.864,104.51,125.826,79.84
7821,39.129,7.121,9.727,2.092,1.013,2.606,6.681,7.985,14.716,18.368,10.514,54.977,64.994,37.406,15.197,19.14,9.462,46.587,55.721,29.964
7900,28.516,5.719,14.576,2.08,0.997,8.857,6.158,7.203,26.116,28.37,23.862,117.432,141.153,95.704,41.224,47.185,35.852,109.306,132.863,87.799
7979,28.914,14.427,17.706,2.567,1.236,3.279,8.585,10.286,28.663,33.652,21.361,116.279,130.884,90.66,39.361,45.276,28.943,105.735,119.304,81.128
8058,33.607,8.011,9.091,1.781,0.867,1.08,4.966,5.969,12.127,13.574,9.911,47.12,49.893,40.538,13.427,14.221,11.918,40.751,42.922,34.776
8137,30.22,14.167,16.919,2.393,1.148,2.752,5.517,6.679,24.807,27.079,22.256,96.495,102.973,83.921,36.752,39.531,33.062,89.009,95.414,76.466
8216,19.4,23.836,27.69,3.436,1.635,3.854,13.882,16.423,38.355,43.8,32.803,131.968,160.766,103.79,44.523,53.219,36.127,115.051,142.898,88.008
8295,21.569,15.484,20.531,2.704,1.279,5.047,16.349,20.125,67.029,92.842,39.419,166.32,221.124,109.476,76.414,109.825,41.301,145.84,199.417,90.674
8374,31.323,9.367,14.468,1.882,0.906,5.101,7.722,9.09,21.294,25.569,16.815,85.337,114.754,54.235,28.65,38.42,18.497,76.275,105.386,45.536
8453,33.344,8.023,9.888,1.443,0.699,1.865,5.178,6.232,15.936,18.437,11.457,68.955,75.767,51.857,21.875,24.273,16.131,62.275,68.333,45.925
8532,18.839,23.095,29.919,3.716,1.656,6.824,46.789,62.126,134.977,167.347,100.358,289.489,349.874,223.898,124.652,165.361,81.038,235.799,296.054,171.078
8611,40.426,-6.325,9.165,1.495,0.722,15.49,1.868,2.552,24.442,36.535,12.525,159.448,242.42,78.69,63.157,98.599,28.755,156.699,239.585,76.135
8690,44.685,-14.525,8.352,1.59,0.761,22.877,5.262,6.331,34.01,42.797,24.519,179.374,233.907,119.646,68.208,90.437,44.027,172.85,227.728,112.757
8769,42.899,-2.772,9.688,1.698,0.822,12.46,2.355,2.871,17.111,22.322,11.548,90.244,119.606,58.841,32.894,43.607,21.405,86.816,115.903,55.729
8848,42.264,-6.059,9.46,1.581,0.761,15.519,3.313,4.023,20.699,25.698,15.376,138.514,182.685,93.011,43.793,58.141,28.749,134.144,178.146,88.872
8927,40.292,-3.287,9.27,1.461,0.703,12.557,3.38,3.924,21.955,30.504,13.042,111.201,156.206,64.376,44.27,64.328,23.378,106.928,151.962,60.098
